Transaction_ID,Date,Store_ID,Product_ID,Quantity_Sold,Current_Stock,Warehouse_Stock,Restock_Quantity,Lead_Time_Days,Damaged_Units,Promotion,Customer_Demand,Expiry_Date,Stockout,Revenue,Profit
TXN00053,2025-01-12,STR002,PRD005,28,93,675,0,4,0,Yes,Medium,2025-09-11,No,49323.68,12150.88
TXN00054,2025-06-11,STR004,PRD057,13,134,249,0,4,1,No,Medium,2026-01-31,No,44219.37,11279.58
TXN00055,2025-03-04,STR001,PRD031,25,142,754,0,5,0,Yes,Low,2025-11-06,No,79365.5,25378.75
TXN00056,2025-02-26,STR002,PRD025,24,181,762,0,4,1,No,Low,2026-01-07,No,163256.16,44437.92
TXN00057,2025-03-05,STR001,PRD008,19,97,186,0,8,1,No,High,2025-12-31,No,44416.68,13874.18
TXN00058,2025-05-24,STR001,PRD035,15,137,374,0,5,0,No,High,2026-03-08,No,29926.05,9963.9
TXN00059,2025-04-20,STR001,PRD050,19,193,978,0,6,0,No,Low,2026-01-18,No,129597.48,41524.12
TXN00060,2025-04-26,STR004,PRD061,16,50,910,83,8,0,No,High,2026-01-29,No,69951.2,16280.32
TXN00061,2025-06-10,STR003,PRD039,16,45,500,90,8,2,Yes,High,2025-12-03,No,50201.12,16703.36
TXN00062,2025-03-02,STR003,PRD034,9,60,393,0,8,0,No,High,2025-05-12,No,28198.98,7376.22
TXN00063,2025-02-05,STR003,PRD045,17,21,442,79,6,1,Yes,High,2025-06-24,No,93264.21,18183.54
TXN00064,2025-01-17,STR004,PRD059,16,90,467,0,4,0,No,High,2025-10-12,No,105586.72,30932.48
TXN00065,2025-04-17,STR004,PRD031,23,29,448,127,5,0,Yes,High,2025-11-27,No,73016.26,23348.45
TXN00066,2025-05-03,STR002,PRD007,15,226,410,0,6,0,No,Medium,2026-01-02,No,52667.4,9749.1
TXN00067,2025-05-18,STR001,PRD030,37,167,667,0,8,0,Yes,Medium,2025-10-07,No,166454.12,30508.72
TXN00068,2025-03-11,STR003,PRD004,33,91,79,0,4,1,No,Medium,2025-11-03,No,117837.06,16351.83
TXN00069,2025-02-12,STR002,PRD059,12,203,528,0,4,0,Yes,High,2025-12-12,No,79190.04,23199.36
TXN00070,2025-01-07,STR001,PRD046,14,218,453,0,6,0,Yes,Low,2026-01-01,No,72142.7,17805.62
TXN00071,2025-04-20,STR001,PRD052,16,18,236,138,3,0,Yes,Medium,2025-11-30,No,47979.36,15883.2
TXN00072,2025-03-25,STR001,PRD041,17,37,384,136,6,1,No,Medium,2025-09-13,No,8437.78,2420.46
TXN00073,2025-04-18,STR003,PRD033,25,39,531,40,4,0,Yes,High,2026-02-18,No,91235.25,17774.5
TXN00074,2025-01-14,STR001,PRD019,16,227,408,0,4,1,Yes,High,2025-03-20,No,26440.32,4134.4
TXN00075,2025-06-16,STR001,PRD046,14,0,303,27,6,0,Yes,Low,2026-05-30,Yes,72142.7,17805.62
TXN00076,2025-02-09,STR004,PRD057,17,44,179,0,4,0,No,High,2025-05-08,No,57825.33,14750.22
TXN00077,2025-05-25,STR004,PRD045,18,224,273,0,6,0,No,High,2025-11-02,No,98750.34,19253.16
TXN00078,2025-04-05,STR004,PRD037,14,28,671,175,6,1,Yes,Low,2025-10-11,No,15633.94,4219.04
TXN00079,2025-01-28,STR002,PRD052,10,138,76,0,3,0,No,High,2025-09-07,No,29987.1,9927.0
TXN00080,2025-04-12,STR002,PRD039,7,234,782,0,8,1,Yes,Low,2026-03-11,No,21962.99,7307.72
TXN00081,2025-06-26,STR001,PRD050,15,197,692,0,6,0,Yes,Low,2025-12-27,No,102313.8,32782.2
TXN00082,2025-06-25,STR004,PRD003,38,168,173,0,4,0,Yes,Medium,2026-04-23,No,193396.82,61138.2
TXN00083,2025-04-20,STR001,PRD032,33,0,713,149,4,2,No,Low,2025-12-21,Yes,38435.1,6375.6
TXN00084,2025-05-06,STR002,PRD058,14,13,420,130,8,0,No,High,2025-08-22,No,53022.34,14101.36
TXN00085,2025-04-22,STR001,PRD021,16,29,716,153,6,0,No,High,2026-02-21,No,39926.4,7288.8
TXN00086,2025-05-04,STR001,PRD060,8,111,496,0,4,1,No,Medium,2025-10-06,No,12544.8,2581.52
TXN00087,2025-01-23,STR002,PRD010,8,63,299,135,9,1,No,High,2025-12-31,No,15743.44,2895.44
TXN00088,2025-06-21,STR003,PRD013,18,79,394,0,4,1,Yes,Medium,2026-01-03,No,103554.54,29871.54
TXN00089,2025-02-16,STR001,PRD057,14,110,267,0,4,0,No,Medium,2025-09-08,No,47620.86,12147.24
TXN00090,2025-03-13,STR004,PRD025,39,140,951,0,4,0,No,High,2025-04-17,No,265291.26,72211.62
TXN00091,2025-05-13,STR002,PRD026,30,0,787,81,9,0,No,Medium,2026-03-23,Yes,50496.6,10530.9
TXN00092,2025-03-03,STR001,PRD021,13,163,537,0,6,0,No,Medium,2025-04-10,No,32440.2,5922.15
TXN00093,2025-01-24,STR003,PRD004,28,28,464,0,4,2,Yes,Medium,2025-12-17,No,99982.96,13874.28
TXN00094,2025-04-05,STR003,PRD040,19,102,616,0,8,0,No,Medium,2026-02-10,No,37825.01,9673.66
TXN00095,2025-03-26,STR003,PRD060,13,77,769,0,4,0,No,Medium,2025-09-28,No,20385.3,4194.97
TXN00096,2025-03-06,STR003,PRD052,14,45,788,50,3,1,Yes,Medium,2025-06-05,No,41981.94,13897.8
TXN00097,2025-05-18,STR003,PRD023,12,231,830,0,4,0,Yes,Low,2025-10-05,No,45921.72,7966.68
TXN00098,2025-05-04,STR003,PRD008,24,161,653,0,8,1,No,Low,2025-09-10,No,56105.28,17525.28
TXN00099,2025-03-17,STR001,PRD029,33,59,359,65,5,0,Yes,High,2026-01-14,No,63083.46,20460.0
TXN00100,2025-02-02,STR002,PRD014,12,58,96,0,6,0,Yes,High,2025-07-31,No,15670.92,5030.76
TXN00101,2025-06-28,STR003,PRD037,13,228,179,0,6,1,No,Low,2025-08-03,No,14517.23,3917.68
TXN00102,2025-05-27,STR003,PRD021,11,61,530,0,6,0,No,Medium,2025-12-17,No,27449.4,5011.05
TXN00103,2025-02-17,STR004,PRD032,17,47,166,142,4,1,Yes,Medium,2025-11-25,No,19799.9,3284.4
TXN00104,2025-01-19,STR002,PRD009,19,128,694,0,4,0,Yes,Low,2025-05-05,No,108284.61,30624.96
TXN00105,2025-05-25,STR003,PRD020,13,229,361,0,5,0,Yes,Low,2025-08-23,No,45570.2,13966.81
TXN00106,2025-05-23,STR004,PRD050,15,180,476,0,6,3,Yes,High,2026-01-02,No,102313.8,32782.2
TXN00107,2025-04-26,STR004,PRD039,10,222,503,0,8,1,No,High,2025-12-31,No,31375.7,10439.6
TXN00108,2025-03-20,STR002,PRD008,35,123,111,0,8,0,Yes,Low,2026-03-05,No,81820.2,25557.7
TXN00109,2025-02-24,STR004,PRD003,33,136,133,0,4,0,Yes,Low,2025-06-22,No,167949.87,53093.7
TXN00110,2025-05-22,STR001,PRD063,15,4,52,60,6,0,No,Medium,2026-04-21,Yes,38419.65,10084.65
TXN00111,2025-05-01,STR002,PRD004,28,0,345,79,4,0,No,High,2026-01-18,Yes,99982.96,13874.28
TXN00112,2025-01-19,STR002,PRD056,11,164,289,0,9,0,No,High,2025-12-16,No,36824.59,5983.67
TXN00113,2025-06-19,STR001,PRD064,26,179,252,0,5,2,No,Low,2026-04-23,No,91864.24,12156.82
TXN00114,2025-02-27,STR003,PRD010,10,155,202,0,9,0,No,Low,2025-05-04,No,19679.3,3619.3
TXN00115,2025-01-16,STR003,PRD056,16,26,659,98,9,1,No,Medium,2025-04-19,No,53563.04,8703.52
TXN00116,2025-04-30,STR001,PRD045,10,166,361,0,6,1,No,Medium,2026-02-10,No,54861.3,10696.2
TXN00117,2025-05-19,STR004,PRD013,11,115,498,0,4,3,Yes,High,2025-07-08,No,63283.33,18254.83
TXN00118,2025-04-21,STR003,PRD049,17,171,380,0,4,2,No,Low,2025-07-06,No,88392.52,22367.92
TXN00119,2025-02-28,STR002,PRD017,11,235,740,0,4,0,Yes,High,2025-08-14,No,46322.54,6596.15
TXN00120,2025-05-28,STR004,PRD026,23,172,824,0,9,0,Yes,Medium,2026-03-19,No,38714.06,8073.69
TXN00121,2025-06-16,STR002,PRD019,17,96,988,0,4,1,No,Low,2026-05-11,No,28092.84,4392.8
TXN00122,2025-04-22,STR004,PRD004,39,169,553,0,4,1,Yes,Medium,2025-11-16,No,139261.98,19324.89
TXN00123,2025-04-15,STR002,PRD028,32,50,736,0,4,0,Yes,Low,2025-10-30,No,168629.12,37950.08
TXN00124,2025-04-16,STR003,PRD047,17,160,557,0,8,0,No,High,2025-12-07,No,93650.79,18996.31
TXN00125,2025-05-21,STR003,PRD020,20,0,140,136,5,0,No,Medium,2025-12-02,Yes,70108.0,21487.4
TXN00126,2025-01-30,STR003,PRD012,22,226,841,0,5,1,No,High,2025-03-01,No,55539.22,11820.82
TXN00127,2025-06-18,STR001,PRD043,8,214,605,0,5,1,No,Medium,2025-08-14,No,31509.84,5009.68
TXN00128,2025-02-18,STR003,PRD016,20,112,420,0,4,0,No,High,2025-11-01,No,113911.6,24679.2
TXN00129,2025-01-14,STR002,PRD061,18,34,612,88,8,0,Yes,Medium,2025-09-25,No,78695.1,18315.36
TXN00130,2025-06-28,STR001,PRD042,10,114,174,0,4,0,Yes,High,2026-06-04,No,62990.2,18405.1
TXN00131,2025-03-03,STR001,PRD045,15,166,212,0,6,2,No,High,2025-04-09,No,82291.95,16044.3
TXN00132,2025-05-22,STR002,PRD063,13,91,145,0,6,0,Yes,Low,2026-02-12,No,33297.03,8740.03
TXN00133,2025-01-31,STR002,PRD007,37,176,207,0,6,0,No,High,2025-07-29,No,129912.92,24047.78
TXN00134,2025-05-11,STR002,PRD055,22,158,329,0,6,0,No,Medium,2026-02-06,No,66756.36,9904.84
TXN00135,2025-03-04,STR002,PRD062,9,107,614,0,4,0,Yes,Medium,2025-07-09,No,26958.78,5160.96
TXN00136,2025-06-03,STR003,PRD007,35,156,950,0,6,0,Yes,Low,2025-11-21,No,122890.6,22747.9
TXN00137,2025-04-17,STR004,PRD058,15,72,856,0,8,0,No,Low,2025-10-08,No,56809.65,15108.6
TXN00138,2025-03-18,STR002,PRD020,21,193,651,0,5,1,No,Low,2025-12-01,No,73613.4,22561.77
TXN00139,2025-05-18,STR001,PRD040,11,112,403,0,8,0,No,High,2026-03-22,No,21898.69,5600.54
TXN00140,2025-04-07,STR003,PRD044,13,103,379,0,5,0,Yes,High,2025-09-06,No,15613.39,2049.97
TXN00141,2025-05-27,STR003,PRD045,12,86,289,0,6,1,No,Low,2025-12-05,No,65833.56,12835.44
TXN00142,2025-05-02,STR004,PRD052,17,163,985,0,3,0,No,Medium,2026-04-30,No,50978.07,16875.9
TXN00143,2025-02-08,STR001,PRD027,30,216,87,0,4,1,Yes,High,2026-01-06,No,145671.3,27255.3
TXN00144,2025-03-26,STR004,PRD048,13,209,152,0,8,0,No,Low,2026-01-19,No,42586.96,7668.7
TXN00145,2025-04-27,STR002,PRD064,16,0,469,56,5,0,Yes,Low,2026-01-22,Yes,56531.84,7481.12
TXN00146,2025-03-09,STR003,PRD046,18,68,688,0,6,1,No,High,2025-05-19,No,92754.9,22892.94
TXN00147,2025-03-26,STR002,PRD050,14,204,740,0,6,0,No,Medium,2026-03-11,No,95492.88,30596.72
TXN00148,2025-05-05,STR001,PRD023,9,214,604,0,4,0,Yes,High,2025-07-09,No,34441.29,5975.01
TXN00149,2025-03-02,STR002,PRD018,15,146,750,0,9,1,No,Low,2025-05-17,No,88196.7,29195.4
TXN00150,2025-04-22,STR004,PRD017,7,243,150,0,4,1,Yes,Medium,2025-08-15,No,29477.98,4197.55
TXN00151,2025-06-27,STR003,PRD033,20,56,97,27,4,2,No,Low,2025-12-24,No,72988.2,14219.6
TXN00152,2025-04-02,STR002,PRD029,32,78,199,0,5,1,Yes,High,2025-11-28,No,61171.84,19840.0
TXN00153,2025-05-25,STR001,PRD026,23,20,130,64,9,0,No,High,2025-10-25,No,38714.06,8073.69
TXN00154,2025-05-08,STR004,PRD057,9,224,647,0,4,1,Yes,Low,2026-01-29,No,30613.41,7808.94
TXN00155,2025-06-13,STR003,PRD045,10,55,520,0,6,1,No,High,2025-07-17,No,54861.3,10696.2
TXN00156,2025-04-30,STR003,PRD024,17,213,344,0,6,1,Yes,Low,2026-01-11,No,32349.3,7688.93
TXN00157,2025-03-30,STR001,PRD026,40,36,484,183,9,0,No,Medium,2025-09-30,No,67328.8,14041.2
TXN00158,2025-02-20,STR004,PRD048,16,82,923,0,8,0,No,Low,2025-07-21,No,52414.72,9438.4
TXN00159,2025-04-08,STR001,PRD015,15,131,417,0,9,0,No,High,2025-10-06,No,62535.75,19116.9
TXN00160,2025-01-06,STR003,PRD045,17,233,899,0,6,0,No,Medium,2025-02-09,No,93264.21,18183.54
TXN00161,2025-05-25,STR003,PRD061,20,201,752,0,8,2,Yes,High,2026-03-05,No,87439.0,20350.4
TXN00162,2025-03-15,STR004,PRD003,23,132,871,0,4,0,No,Low,2026-03-05,No,117055.97,37004.7
TXN00163,2025-02-18,STR001,PRD046,19,139,306,0,6,0,Yes,High,2025-05-08,No,97907.95,24164.77
TXN00164,2025-06-10,STR002,PRD027,38,0,857,99,4,1,No,Low,2026-05-02,Yes,184516.98,34523.38
TXN00165,2025-04-04,STR003,PRD024,12,175,184,0,6,1,Yes,Medium,2025-10-18,No,22834.8,5427.48
TXN00166,2025-04-17,STR002,PRD038,11,33,185,71,3,0,No,High,2026-01-28,No,52285.64,13804.78
TXN00167,2025-03-11,STR001,PRD059,15,197,218,0,4,0,No,Medium,2025-09-08,No,98987.55,28999.2
TXN00168,2025-03-28,STR002,PRD008,26,93,127,0,8,0,Yes,Low,2025-11-16,No,60780.72,18985.72
TXN00169,2025-05-23,STR002,PRD004,31,0,64,121,4,0,No,High,2025-08-24,Yes,110695.42,15360.81
TXN00170,2025-04-27,STR004,PRD009,15,79,738,0,4,1,No,High,2025-12-08,No,85487.85,24177.6
TXN00171,2025-06-13,STR002,PRD040,12,228,430,0,8,0,Yes,High,2025-11-09,No,23889.48,6109.68
TXN00172,2025-05-01,STR004,PRD029,23,135,955,0,5,1,No,High,2025-09-21,No,43967.26,14260.0
TXN00173,2025-06-15,STR003,PRD013,17,0,893,182,4,0,No,High,2025-12-16,Yes,97801.51,28212.01
TXN00174,2025-06-16,STR001,PRD035,18,86,169,0,5,0,Yes,Low,2025-08-04,No,35911.26,11956.68
TXN00175,2025-03-19,STR003,PRD003,29,0,290,44,4,1,Yes,Medium,2025-12-06,Yes,147592.31,46658.1
TXN00176,2025-04-05,STR004,PRD035,12,159,810,0,5,0,No,High,2025-07-23,No,23940.84,7971.12
TXN00177,2025-04-17,STR003,PRD008,42,0,680,145,8,2,No,Medium,2025-06-02,Yes,98184.24,30669.24
TXN00178,2025-06-26,STR003,PRD019,18,76,272,0,4,1,No,Medium,2025-11-23,No,29745.36,4651.2
TXN00179,2025-04-03,STR001,PRD009,23,2,426,195,4,0,No,Low,2025-11-22,Yes,131081.37,37072.32
TXN00180,2025-03-12,STR003,PRD039,11,37,918,51,8,1,No,Low,2025-07-28,No,34513.27,11483.56
TXN00181,2025-06-14,STR002,PRD023,22,141,661,0,4,1,Yes,Low,2025-12-31,No,84189.82,14605.58
TXN00182,2025-03-04,STR001,PRD004,27,174,628,0,4,0,Yes,Low,2026-01-11,No,96412.14,13378.77
TXN00183,2025-02-23,STR001,PRD064,14,136,271,0,5,2,Yes,Medium,2025-06-08,No,49465.36,6545.98
TXN00184,2025-06-02,STR001,PRD041,20,0,929,90,6,0,Yes,Low,2026-04-04,Yes,9926.8,2847.6
TXN00185,2025-03-06,STR004,PRD054,16,188,228,0,6,0,Yes,High,2025-04-18,No,55893.44,8428.16
TXN00186,2025-02-03,STR003,PRD059,14,0,858,111,4,0,Yes,High,2025-08-17,Yes,92388.38,27065.92
TXN00187,2025-01-05,STR001,PRD008,18,49,179,33,8,1,No,High,2025-04-03,No,42078.96,13143.96
TXN00188,2025-01-17,STR002,PRD013,7,114,509,0,4,0,No,High,2025-12-16,No,40271.21,11616.71
TXN00189,2025-01-28,STR004,PRD034,11,104,565,0,8,0,Yes,High,2025-03-21,No,34465.42,9015.38
TXN00190,2025-06-18,STR004,PRD009,12,121,358,0,4,0,No,High,2025-08-02,No,68390.28,19342.08
TXN00191,2025-01-16,STR004,PRD046,20,102,917,0,6,0,No,Medium,2025-04-11,No,103061.0,25436.6
TXN00192,2025-05-06,STR001,PRD001,27,0,379,40,3,1,Yes,Low,2025-08-08,Yes,103411.08,14167.71
TXN00193,2025-03-12,STR002,PRD023,15,144,698,0,4,1,No,Medium,2026-02-10,No,57402.15,9958.35
TXN00194,2025-05-16,STR002,PRD054,19,56,567,136,6,0,No,Low,2025-08-12,No,66373.46,10008.44
TXN00195,2025-06-17,STR001,PRD045,13,153,948,0,6,0,Yes,Medium,2026-03-05,No,71319.69,13905.06
TXN00196,2025-02-28,STR002,PRD005,30,56,897,0,4,0,No,Medium,2025-10-28,No,52846.8,13018.8
TXN00197,2025-01-25,STR001,PRD025,28,81,370,0,4,1,No,Medium,2025-05-13,No,190465.52,51844.24
TXN00198,2025-06-25,STR004,PRD020,20,216,535,0,5,0,Yes,Low,2025-09-06,No,70108.0,21487.4
TXN00199,2025-01-24,STR004,PRD012,16,94,148,0,5,0,No,Low,2025-12-04,No,40392.16,8596.96
TXN00200,2025-01-16,STR002,PRD010,20,130,625,0,9,0,No,High,2025-04-18,No,39358.6,7238.6
TXN00201,2025-04-16,STR003,PRD020,17,73,944,0,5,0,No,High,2025-06-11,No,59591.8,18264.29
TXN00202,2025-03-15,STR004,PRD059,14,139,369,0,4,0,No,Low,2026-02-03,No,92388.38,27065.92
TXN00203,2025-05-10,STR004,PRD060,18,36,722,59,4,2,No,Low,2025-08-03,No,28225.8,5808.42
TXN00204,2025-03-31,STR003,PRD004,31,63,167,0,4,0,No,High,2025-08-23,No,110695.42,15360.81
TXN00205,2025-04-20,STR003,PRD040,12,204,624,0,8,0,Yes,High,2025-10-03,No,23889.48,6109.68
TXN00206,2025-01-08,STR003,PRD019,19,27,769,89,4,1,No,Medium,2025-08-05,No,31397.88,4909.6
TXN00207,2025-01-02,STR002,PRD042,15,31,629,56,4,1,No,Low,2025-04-14,No,94485.3,27607.65
TXN00208,2025-06-12,STR004,PRD006,20,3,270,155,5,1,No,Medium,2026-03-01,Yes,82295.4,23538.4
TXN00209,2025-03-29,STR004,PRD024,13,27,369,114,6,0,No,High,2026-02-27,No,24737.7,5879.77
TXN00210,2025-01-22,STR003,PRD012,15,211,103,0,5,0,Yes,Low,2026-01-03,No,37867.65,8059.65
TXN00211,2025-01-13,STR001,PRD062,8,164,133,0,4,0,No,Medium,2025-09-17,No,23963.36,4587.52
TXN00212,2025-05-05,STR004,PRD051,11,144,502,0,8,0,No,Medium,2025-09-22,No,23204.39,3145.56
TXN00213,2025-05-12,STR002,PRD002,24,64,490,0,4,0,Yes,Medium,2026-04-10,No,41748.0,6924.24
TXN00214,2025-05-05,STR001,PRD060,17,117,733,0,4,1,No,Low,2025-09-24,No,26657.7,5485.73
TXN00215,2025-04-12,STR002,PRD050,13,140,106,0,6,0,Yes,Low,2025-10-13,No,88671.96,28411.24
TXN00216,2025-02-24,STR003,PRD011,10,186,190,0,8,0,No,Medium,2025-09-09,No,22253.8,3433.9
TXN00217,2025-01-31,STR004,PRD012,16,0,814,147,5,0,No,Low,2025-05-07,Yes,40392.16,8596.96
TXN00218,2025-04-08,STR001,PRD060,17,119,770,0,4,0,Yes,High,2026-02-18,No,26657.7,5485.73
TXN00219,2025-06-21,STR001,PRD042,14,192,412,0,4,0,Yes,Medium,2025-08-11,No,88186.28,25767.14
TXN00220,2025-04-22,STR003,PRD016,13,0,993,137,4,0,Yes,Medium,2026-03-12,Yes,74042.54,16041.48
TXN00221,2025-04-20,STR004,PRD008,42,61,477,183,8,2,No,Low,2025-12-13,No,98184.24,30669.24
TXN00222,2025-01-06,STR003,PRD028,29,14,521,178,4,0,No,Low,2025-09-16,No,152820.14,34392.26
TXN00223,2025-01-28,STR003,PRD002,28,83,653,0,4,1,No,High,2025-04-08,No,48706.0,8078.28
TXN00224,2025-04-12,STR001,PRD003,26,164,397,0,4,0,Yes,Medium,2025-08-06,No,132324.14,41831.4
TXN00225,2025-01-20,STR002,PRD051,18,112,698,0,8,1,Yes,High,2025-11-07,No,37970.82,5147.28
TXN00226,2025-02-19,STR003,PRD025,30,59,794,0,4,0,Yes,Low,2025-05-12,No,204070.2,55547.4
TXN00227,2025-02-07,STR004,PRD037,11,54,227,70,6,0,Yes,High,2025-04-16,No,12283.81,3314.96
TXN00228,2025-02-15,STR004,PRD030,38,88,525,0,8,1,No,High,2025-12-31,No,170952.88,31333.28
TXN00229,2025-06-14,STR002,PRD063,10,152,689,0,6,0,No,High,2025-12-22,No,25613.1,6723.1
TXN00230,2025-02-08,STR003,PRD012,11,101,119,0,5,0,No,Medium,2026-01-27,No,27769.61,5910.41
TXN00231,2025-03-19,STR002,PRD057,20,183,331,0,4,0,Yes,Medium,2026-01-02,No,68029.8,17353.2
TXN00232,2025-01-19,STR004,PRD012,16,63,522,0,5,2,No,Low,2025-03-19,No,40392.16,8596.96
TXN00233,2025-04-05,STR003,PRD008,33,0,934,185,8,1,Yes,High,2026-03-05,Yes,77144.76,24097.26
