delivery_id,supplier_id,expected_delivery_date,actual_delivery_date,supplier_delay_days,supplier_reliability_status
69,3,01/02/2025,06/02/2025,5,Delayed
70,4,23/05/2025,25/05/2025,2,On Time
71,4,02/03/2024,05/03/2024,3,On Time
72,1,15/06/2025,18/06/2025,3,On Time
73,7,04/07/2024,14/07/2024,10,Delayed
74,6,29/05/2024,08/06/2024,10,Delayed
75,3,10/12/2024,10/12/2024,0,On Time
76,6,22/04/2025,24/04/2025,2,On Time
77,2,16/04/2024,23/04/2024,7,Delayed
78,5,06/06/2025,16/06/2025,10,Delayed
79,2,29/09/2024,09/10/2024,10,Delayed
80,3,14/04/2024,19/04/2024,5,Delayed
81,1,10/02/2025,20/02/2025,10,Delayed
82,2,23/06/2024,25/06/2024,2,On Time
83,6,08/08/2024,18/08/2024,10,Delayed
84,2,21/10/2024,21/10/2024,0,On Time
85,5,17/02/2025,27/02/2025,10,Delayed
86,3,05/08/2024,12/08/2024,7,Delayed
87,3,21/05/2024,26/05/2024,5,Delayed
88,6,16/01/2025,23/01/2025,7,Delayed
89,4,11/10/2024,18/10/2024,7,Delayed
90,1,27/12/2024,29/12/2024,2,On Time
91,1,20/01/2025,30/01/2025,10,Delayed
92,6,09/05/2024,12/05/2024,3,On Time
93,6,30/10/2024,31/10/2024,1,On Time
94,5,16/06/2025,23/06/2025,7,Delayed
95,7,22/09/2024,24/09/2024,2,On Time
96,6,09/09/2024,19/09/2024,10,Delayed
97,3,16/08/2024,16/08/2024,0,On Time
98,4,12/10/2024,14/10/2024,2,On Time
99,2,26/09/2024,27/09/2024,1,On Time
100,7,10/12/2024,10/12/2024,0,On Time
101,3,06/06/2025,09/06/2025,3,On Time
102,6,14/01/2024,14/01/2024,0,On Time
103,1,19/11/2024,22/11/2024,3,On Time
104,1,16/12/2024,18/12/2024,2,On Time
105,5,20/06/2025,22/06/2025,2,On Time
106,3,04/05/2024,07/05/2024,3,On Time
107,6,01/05/2024,02/05/2024,1,On Time
108,2,15/09/2024,15/09/2024,0,On Time
109,5,25/12/2024,30/12/2024,5,Delayed
110,6,18/11/2024,19/11/2024,1,On Time
111,3,23/03/2025,30/03/2025,7,Delayed
112,4,20/12/2024,22/12/2024,2,On Time
113,2,14/12/2024,24/12/2024,10,Delayed
114,2,10/05/2025,20/05/2025,10,Delayed
115,6,27/06/2024,29/06/2024,2,On Time
116,6,01/05/2024,04/05/2024,3,On Time
117,6,01/11/2024,04/11/2024,3,On Time
118,4,14/08/2024,24/08/2024,10,Delayed
119,4,24/04/2024,26/04/2024,2,On Time
120,6,21/08/2024,23/08/2024,2,On Time
121,3,23/12/2024,24/12/2024,1,On Time
122,7,08/05/2025,11/05/2025,3,On Time
123,3,10/07/2024,12/07/2024,2,On Time
124,5,27/05/2025,01/06/2025,5,Delayed
125,1,19/02/2024,19/02/2024,0,On Time
126,4,31/03/2024,07/04/2024,7,Delayed
127,3,09/03/2025,12/03/2025,3,On Time
128,7,20/12/2024,20/12/2024,0,On Time
129,7,20/03/2024,22/03/2024,2,On Time
130,1,18/07/2024,23/07/2024,5,Delayed
131,7,25/08/2024,28/08/2024,3,On Time
132,2,07/04/2024,07/04/2024,0,On Time
133,3,17/02/2025,22/02/2025,5,Delayed
134,2,06/04/2025,07/04/2025,1,On Time
135,7,28/02/2024,04/03/2024,5,Delayed
136,7,11/12/2024,13/12/2024,2,On Time
137,1,05/08/2024,12/08/2024,7,Delayed
138,3,20/07/2024,27/07/2024,7,Delayed
139,2,16/06/2025,18/06/2025,2,On Time
140,5,10/06/2024,13/06/2024,3,On Time
141,3,06/03/2025,13/03/2025,7,Delayed
142,6,26/02/2024,07/03/2024,10,Delayed
143,4,15/01/2025,15/01/2025,0,On Time
144,6,09/05/2025,12/05/2025,3,On Time
145,5,18/04/2025,20/04/2025,2,On Time
146,6,15/02/2024,20/02/2024,5,Delayed
147,5,07/08/2024,09/08/2024,2,On Time
148,1,09/04/2024,12/04/2024,3,On Time
149,5,15/05/2025,20/05/2025,5,Delayed
150,5,19/06/2025,22/06/2025,3,On Time
151,5,03/03/2025,08/03/2025,5,Delayed
152,3,15/05/2024,25/05/2024,10,Delayed
153,6,15/04/2024,22/04/2024,7,Delayed
154,1,21/02/2025,28/02/2025,7,Delayed
155,4,25/03/2025,27/03/2025,2,On Time
156,4,13/02/2024,13/02/2024,0,On Time
157,6,23/03/2025,25/03/2025,2,On Time
158,5,05/01/2024,06/01/2024,1,On Time
159,2,05/07/2024,10/07/2024,5,Delayed
160,2,23/04/2025,23/04/2025,0,On Time
161,6,24/10/2024,24/10/2024,0,On Time
162,7,28/05/2025,29/05/2025,1,On Time
163,4,01/02/2024,04/02/2024,3,On Time
164,6,11/07/2024,13/07/2024,2,On Time
165,5,14/02/2024,19/02/2024,5,Delayed
166,2,12/02/2025,17/02/2025,5,Delayed
167,3,21/02/2025,26/02/2025,5,Delayed
168,3,01/07/2024,01/07/2024,0,On Time
169,1,08/02/2024,13/02/2024,5,Delayed
170,2,09/11/2024,12/11/2024,3,On Time
171,7,09/02/2025,16/02/2025,7,Delayed
172,4,03/02/2025,13/02/2025,10,Delayed
173,1,15/02/2025,15/02/2025,0,On Time
174,5,26/08/2024,26/08/2024,0,On Time
175,2,19/10/2024,26/10/2024,7,Delayed
176,7,26/03/2024,02/04/2024,7,Delayed
177,1,26/02/2024,04/03/2024,7,Delayed
178,2,23/01/2025,02/02/2025,10,Delayed
179,7,22/06/2024,29/06/2024,7,Delayed
180,1,14/10/2024,16/10/2024,2,On Time
181,3,27/01/2025,30/01/2025,3,On Time
182,1,01/02/2025,06/02/2025,5,Delayed
183,3,07/04/2025,12/04/2025,5,Delayed
184,4,24/06/2025,27/06/2025,3,On Time
185,3,25/07/2024,25/07/2024,0,On Time
186,3,02/02/2024,04/02/2024,2,On Time
187,7,16/06/2025,18/06/2025,2,On Time
188,3,09/09/2024,12/09/2024,3,On Time
189,3,01/06/2024,11/06/2024,10,Delayed
190,7,20/08/2024,21/08/2024,1,On Time
191,4,17/02/2025,27/02/2025,10,Delayed
192,5,29/02/2024,03/03/2024,3,On Time
193,1,16/05/2025,17/05/2025,1,On Time
194,2,28/01/2024,04/02/2024,7,Delayed
195,2,24/09/2024,01/10/2024,7,Delayed
196,4,07/04/2025,09/04/2025,2,On Time
197,6,21/07/2024,31/07/2024,10,Delayed
198,4,24/03/2025,24/03/2025,0,On Time
199,7,22/01/2024,24/01/2024,2,On Time
200,2,03/05/2024,10/05/2024,7,Delayed
201,3,26/08/2024,27/08/2024,1,On Time
202,5,03/09/2024,06/09/2024,3,On Time
203,7,24/05/2025,31/05/2025,7,Delayed
204,1,11/09/2024,12/09/2024,1,On Time
205,3,05/03/2024,10/03/2024,5,Delayed
206,3,28/04/2025,30/04/2025,2,On Time
207,3,23/10/2024,23/10/2024,0,On Time
208,3,14/08/2024,16/08/2024,2,On Time
209,7,14/11/2024,16/11/2024,2,On Time
210,1,13/03/2024,18/03/2024,5,Delayed
211,4,07/11/2024,10/11/2024,3,On Time
212,1,18/06/2024,28/06/2024,10,Delayed
213,1,11/01/2025,12/01/2025,1,On Time
214,7,25/01/2024,25/01/2024,0,On Time
215,7,29/10/2024,05/11/2024,7,Delayed
216,4,02/05/2024,04/05/2024,2,On Time
217,5,06/02/2025,09/02/2025,3,On Time
218,4,27/08/2024,06/09/2024,10,Delayed
219,1,29/08/2024,30/08/2024,1,On Time
220,3,30/09/2024,07/10/2024,7,Delayed
221,7,10/04/2024,20/04/2024,10,Delayed
222,3,29/05/2025,03/06/2025,5,Delayed
223,3,07/07/2024,14/07/2024,7,Delayed
224,7,24/03/2025,29/03/2025,5,Delayed
225,2,29/01/2025,29/01/2025,0,On Time
226,1,09/05/2024,16/05/2024,7,Delayed
227,7,09/09/2024,09/09/2024,0,On Time
228,3,12/05/2025,12/05/2025,0,On Time
229,7,22/01/2024,27/01/2024,5,Delayed
230,6,01/05/2024,11/05/2024,10,Delayed
231,4,05/11/2024,06/11/2024,1,On Time
232,7,02/06/2024,12/06/2024,10,Delayed
233,7,18/05/2024,25/05/2024,7,Delayed
234,3,13/02/2024,18/02/2024,5,Delayed
235,3,18/10/2024,28/10/2024,10,Delayed
236,5,20/08/2024,27/08/2024,7,Delayed
237,1,21/06/2025,26/06/2025,5,Delayed
238,2,17/03/2025,24/03/2025,7,Delayed
239,1,25/05/2025,04/06/2025,10,Delayed
240,3,16/12/2024,19/12/2024,3,On Time
241,3,15/01/2025,15/01/2025,0,On Time
242,1,15/09/2024,18/09/2024,3,On Time
243,6,05/04/2025,05/04/2025,0,On Time
244,7,23/10/2024,02/11/2024,10,Delayed
245,2,07/03/2024,09/03/2024,2,On Time
246,6,04/01/2025,14/01/2025,10,Delayed
247,4,12/04/2025,19/04/2025,7,Delayed
248,4,24/05/2025,03/06/2025,10,Delayed
249,7,03/06/2025,10/06/2025,7,Delayed
250,3,14/02/2025,16/02/2025,2,On Time
251,5,13/09/2024,15/09/2024,2,On Time
252,2,23/07/2024,25/07/2024,2,On Time
253,4,07/06/2024,12/06/2024,5,Delayed
254,2,15/03/2025,17/03/2025,2,On Time
255,2,19/06/2024,19/06/2024,0,On Time
256,1,21/07/2024,26/07/2024,5,Delayed
257,5,28/11/2024,01/12/2024,3,On Time
258,5,21/07/2024,24/07/2024,3,On Time
259,5,10/11/2024,11/11/2024,1,On Time
260,2,21/09/2024,24/09/2024,3,On Time
261,7,24/03/2024,29/03/2024,5,Delayed
262,7,09/11/2024,14/11/2024,5,Delayed
263,1,16/05/2024,21/05/2024,5,Delayed
264,3,12/10/2024,19/10/2024,7,Delayed
265,4,09/10/2024,12/10/2024,3,On Time
266,4,19/06/2024,29/06/2024,10,Delayed
267,7,13/06/2024,16/06/2024,3,On Time
268,1,16/06/2025,16/06/2025,0,On Time
269,2,04/12/2024,04/12/2024,0,On Time
270,6,23/09/2024,25/09/2024,2,On Time
271,5,25/10/2024,30/10/2024,5,Delayed
272,1,22/03/2025,29/03/2025,7,Delayed
273,4,10/11/2024,12/11/2024,2,On Time
274,6,18/10/2024,23/10/2024,5,Delayed
275,3,16/03/2025,16/03/2025,0,On Time
276,1,25/11/2024,02/12/2024,7,Delayed
277,3,05/09/2024,12/09/2024,7,Delayed
278,2,28/08/2024,02/09/2024,5,Delayed
279,5,23/09/2024,03/10/2024,10,Delayed
280,5,13/01/2025,18/01/2025,5,Delayed
281,7,27/03/2024,01/04/2024,5,Delayed
282,1,10/01/2024,10/01/2024,0,On Time
283,7,22/07/2024,23/07/2024,1,On Time
284,2,03/06/2025,08/06/2025,5,Delayed
285,2,21/04/2025,23/04/2025,2,On Time
286,2,10/06/2024,20/06/2024,10,Delayed
287,1,10/04/2025,10/04/2025,0,On Time
288,7,07/05/2024,12/05/2024,5,Delayed
289,5,23/03/2024,02/04/2024,10,Delayed
290,1,01/04/2025,08/04/2025,7,Delayed
291,1,22/12/2024,25/12/2024,3,On Time
292,5,09/05/2024,19/05/2024,10,Delayed
293,1,06/01/2024,09/01/2024,3,On Time
294,1,04/02/2024,05/02/2024,1,On Time
295,1,29/06/2024,01/07/2024,2,On Time
296,7,05/04/2025,06/04/2025,1,On Time
297,7,01/03/2025,03/03/2025,2,On Time
298,7,24/02/2025,03/03/2025,7,Delayed
299,7,24/10/2024,31/10/2024,7,Delayed
300,3,17/06/2024,17/06/2024,0,On Time
301,7,17/09/2024,22/09/2024,5,Delayed
302,7,20/10/2024,27/10/2024,7,Delayed
303,6,11/01/2025,13/01/2025,2,On Time
304,5,01/06/2024,08/06/2024,7,Delayed
305,7,17/07/2024,17/07/2024,0,On Time
306,5,19/11/2024,24/11/2024,5,Delayed
307,2,25/02/2025,07/03/2025,10,Delayed
308,3,02/06/2024,02/06/2024,0,On Time
309,1,18/08/2024,20/08/2024,2,On Time
310,4,02/01/2025,07/01/2025,5,Delayed
311,1,11/11/2024,14/11/2024,3,On Time
312,1,12/12/2024,12/12/2024,0,On Time
313,5,26/03/2024,26/03/2024,0,On Time
314,3,12/04/2024,12/04/2024,0,On Time
315,3,02/03/2024,04/03/2024,2,On Time
316,3,05/04/2024,10/04/2024,5,Delayed
317,1,30/08/2024,02/09/2024,3,On Time
318,7,04/10/2024,05/10/2024,1,On Time
319,7,15/04/2024,22/04/2024,7,Delayed
320,5,25/03/2024,27/03/2024,2,On Time
321,2,30/08/2024,06/09/2024,7,Delayed
322,6,22/02/2024,24/02/2024,2,On Time
323,1,17/02/2024,20/02/2024,3,On Time
324,4,09/09/2024,10/09/2024,1,On Time
325,2,11/02/2025,12/02/2025,1,On Time
326,4,27/03/2025,27/03/2025,0,On Time
327,4,07/03/2024,17/03/2024,10,Delayed
328,7,25/06/2024,25/06/2024,0,On Time
329,7,10/11/2024,13/11/2024,3,On Time
330,3,29/04/2025,01/05/2025,2,On Time
331,6,29/02/2024,03/03/2024,3,On Time
332,6,10/01/2025,11/01/2025,1,On Time
333,2,15/01/2025,20/01/2025,5,Delayed
334,6,03/03/2025,04/03/2025,1,On Time
335,3,01/01/2025,11/01/2025,10,Delayed
336,5,13/06/2024,15/06/2024,2,On Time
337,2,28/01/2024,31/01/2024,3,On Time
338,4,18/03/2025,23/03/2025,5,Delayed
339,7,30/01/2025,30/01/2025,0,On Time
340,2,19/01/2025,20/01/2025,1,On Time
341,2,14/01/2024,21/01/2024,7,Delayed
342,5,16/06/2024,18/06/2024,2,On Time
343,3,17/03/2024,17/03/2024,0,On Time
344,3,20/06/2025,23/06/2025,3,On Time
345,1,10/02/2025,11/02/2025,1,On Time
346,3,10/09/2024,10/09/2024,0,On Time
347,3,03/04/2024,08/04/2024,5,Delayed
348,1,03/04/2025,10/04/2025,7,Delayed
349,6,15/01/2025,16/01/2025,1,On Time
350,2,21/09/2024,24/09/2024,3,On Time
351,1,20/03/2025,27/03/2025,7,Delayed
352,2,11/04/2025,21/04/2025,10,Delayed
353,5,30/05/2025,31/05/2025,1,On Time
354,3,21/01/2025,28/01/2025,7,Delayed
355,5,29/03/2025,08/04/2025,10,Delayed
356,5,19/01/2025,20/01/2025,1,On Time
357,1,08/01/2025,09/01/2025,1,On Time
358,7,03/02/2025,04/02/2025,1,On Time
359,2,13/12/2024,14/12/2024,1,On Time
360,7,05/03/2025,12/03/2025,7,Delayed
361,4,13/10/2024,14/10/2024,1,On Time
362,6,01/02/2024,06/02/2024,5,Delayed
363,7,29/10/2024,29/10/2024,0,On Time
364,7,25/07/2024,25/07/2024,0,On Time
365,3,08/12/2024,09/12/2024,1,On Time
366,6,12/07/2024,12/07/2024,0,On Time
367,4,14/07/2024,21/07/2024,7,Delayed
368,6,01/11/2024,03/11/2024,2,On Time
369,5,13/05/2025,14/05/2025,1,On Time
370,3,03/08/2024,08/08/2024,5,Delayed
371,5,08/05/2025,09/05/2025,1,On Time
372,1,15/09/2024,18/09/2024,3,On Time
373,1,07/06/2024,14/06/2024,7,Delayed
374,4,08/04/2024,11/04/2024,3,On Time
375,7,23/12/2024,02/01/2025,10,Delayed
376,2,07/12/2024,07/12/2024,0,On Time
377,6,22/01/2025,01/02/2025,10,Delayed
378,3,08/02/2024,11/02/2024,3,On Time
379,3,26/02/2025,08/03/2025,10,Delayed
380,5,06/11/2024,07/11/2024,1,On Time
381,1,03/05/2025,03/05/2025,0,On Time
382,6,27/07/2024,29/07/2024,2,On Time
383,5,03/12/2024,13/12/2024,10,Delayed
384,2,24/02/2025,27/02/2025,3,On Time
385,4,22/02/2025,01/03/2025,7,Delayed
386,4,19/11/2024,24/11/2024,5,Delayed
387,2,21/05/2024,22/05/2024,1,On Time
388,1,02/01/2025,03/01/2025,1,On Time
389,1,15/01/2024,25/01/2024,10,Delayed
390,1,10/05/2025,15/05/2025,5,Delayed
391,5,05/06/2024,10/06/2024,5,Delayed
392,1,22/05/2025,22/05/2025,0,On Time
393,1,17/02/2024,22/02/2024,5,Delayed
394,6,09/02/2025,16/02/2025,7,Delayed
395,2,06/03/2025,07/03/2025,1,On Time
396,3,27/01/2024,01/02/2024,5,Delayed
397,3,05/09/2024,05/09/2024,0,On Time
398,7,08/01/2024,15/01/2024,7,Delayed
399,5,08/09/2024,11/09/2024,3,On Time
400,5,22/01/2024,25/01/2024,3,On Time
401,4,28/04/2025,03/05/2025,5,Delayed
402,1,03/04/2024,05/04/2024,2,On Time
403,3,24/06/2024,04/07/2024,10,Delayed
404,5,04/09/2024,06/09/2024,2,On Time
405,6,14/01/2025,15/01/2025,1,On Time
406,3,31/01/2024,05/02/2024,5,Delayed
407,4,05/05/2025,15/05/2025,10,Delayed
408,7,27/04/2025,04/05/2025,7,Delayed
409,3,03/04/2024,10/04/2024,7,Delayed
410,2,11/04/2024,16/04/2024,5,Delayed
411,7,05/04/2025,10/04/2025,5,Delayed
412,7,09/02/2025,14/02/2025,5,Delayed
413,7,16/03/2024,21/03/2024,5,Delayed
414,5,09/06/2025,10/06/2025,1,On Time
415,5,13/01/2025,18/01/2025,5,Delayed
416,1,19/01/2024,20/01/2024,1,On Time
417,7,12/06/2025,14/06/2025,2,On Time
418,6,08/02/2024,10/02/2024,2,On Time
419,7,25/04/2025,27/04/2025,2,On Time
420,5,29/05/2025,01/06/2025,3,On Time
421,3,23/06/2024,03/07/2024,10,Delayed
422,6,05/08/2024,10/08/2024,5,Delayed
423,5,09/09/2024,12/09/2024,3,On Time
424,5,18/05/2025,21/05/2025,3,On Time
425,1,04/03/2025,05/03/2025,1,On Time
426,5,12/03/2025,14/03/2025,2,On Time
427,5,23/09/2024,28/09/2024,5,Delayed
428,2,24/06/2025,01/07/2025,7,Delayed
429,4,02/12/2024,05/12/2024,3,On Time
430,5,13/04/2025,14/04/2025,1,On Time
431,6,29/05/2024,08/06/2024,10,Delayed
432,6,27/11/2024,30/11/2024,3,On Time
433,5,11/11/2024,18/11/2024,7,Delayed
434,1,11/03/2024,16/03/2024,5,Delayed
435,4,18/11/2024,18/11/2024,0,On Time
436,6,26/05/2025,29/05/2025,3,On Time
437,6,19/02/2024,29/02/2024,10,Delayed
438,5,03/03/2024,13/03/2024,10,Delayed
439,7,16/09/2024,23/09/2024,7,Delayed
440,6,14/03/2025,15/03/2025,1,On Time
441,3,02/01/2024,12/01/2024,10,Delayed
442,2,18/01/2025,28/01/2025,10,Delayed
443,3,25/04/2024,25/04/2024,0,On Time
444,2,23/03/2025,02/04/2025,10,Delayed
445,3,01/04/2025,06/04/2025,5,Delayed
446,3,25/05/2025,27/05/2025,2,On Time
447,6,04/03/2024,05/03/2024,1,On Time
448,3,02/12/2024,05/12/2024,3,On Time
449,4,06/09/2024,11/09/2024,5,Delayed
450,2,16/12/2024,23/12/2024,7,Delayed
451,1,24/06/2025,01/07/2025,7,Delayed
452,3,16/11/2024,17/11/2024,1,On Time
453,5,08/03/2024,11/03/2024,3,On Time
454,6,19/11/2024,21/11/2024,2,On Time
455,1,12/12/2024,19/12/2024,7,Delayed
456,5,22/10/2024,22/10/2024,0,On Time
457,1,30/01/2025,02/02/2025,3,On Time
458,1,09/07/2024,14/07/2024,5,Delayed
459,7,27/02/2024,05/03/2024,7,Delayed
460,7,09/05/2024,11/05/2024,2,On Time
461,3,16/02/2025,23/02/2025,7,Delayed
462,7,10/07/2024,20/07/2024,10,Delayed
463,3,02/02/2024,02/02/2024,0,On Time
464,2,20/06/2024,30/06/2024,10,Delayed
465,1,31/08/2024,03/09/2024,3,On Time
466,2,13/08/2024,15/08/2024,2,On Time
467,3,24/10/2024,26/10/2024,2,On Time
468,1,08/09/2024,13/09/2024,5,Delayed
469,6,03/12/2024,05/12/2024,2,On Time
470,4,02/03/2025,12/03/2025,10,Delayed
471,4,21/12/2024,24/12/2024,3,On Time
472,6,08/05/2025,09/05/2025,1,On Time
473,6,05/04/2024,10/04/2024,5,Delayed
474,3,22/12/2024,24/12/2024,2,On Time
475,2,28/02/2024,06/03/2024,7,Delayed
476,2,15/06/2025,16/06/2025,1,On Time
477,2,09/06/2024,14/06/2024,5,Delayed
478,5,10/03/2025,13/03/2025,3,On Time
479,2,25/04/2024,28/04/2024,3,On Time
480,6,19/05/2024,19/05/2024,0,On Time
481,4,13/06/2024,15/06/2024,2,On Time
482,6,25/04/2024,27/04/2024,2,On Time
483,6,22/02/2025,24/02/2025,2,On Time
484,6,21/02/2025,28/02/2025,7,Delayed
485,6,01/06/2024,11/06/2024,10,Delayed
486,3,21/01/2024,24/01/2024,3,On Time
487,4,06/06/2025,06/06/2025,0,On Time
488,4,29/11/2024,09/12/2024,10,Delayed
489,7,25/11/2024,02/12/2024,7,Delayed
490,2,06/11/2024,07/11/2024,1,On Time
491,1,04/09/2024,06/09/2024,2,On Time
492,7,20/04/2025,22/04/2025,2,On Time
493,6,04/06/2025,07/06/2025,3,On Time
494,5,14/05/2024,16/05/2024,2,On Time
495,5,06/03/2025,16/03/2025,10,Delayed
496,2,25/06/2024,28/06/2024,3,On Time
497,6,17/02/2024,17/02/2024,0,On Time
498,6,11/04/2025,16/04/2025,5,Delayed
499,5,26/02/2025,05/03/2025,7,Delayed
500,2,11/05/2025,21/05/2025,10,Delayed
501,1,16/04/2024,21/04/2024,5,Delayed
502,5,02/11/2024,07/11/2024,5,Delayed
503,6,30/03/2025,01/04/2025,2,On Time
504,7,25/04/2024,25/04/2024,0,On Time
505,4,27/12/2024,27/12/2024,0,On Time
506,2,10/02/2024,15/02/2024,5,Delayed
507,3,04/11/2024,04/11/2024,0,On Time
508,4,02/03/2024,02/03/2024,0,On Time
509,5,12/07/2024,14/07/2024,2,On Time
510,7,03/11/2024,06/11/2024,3,On Time
511,2,01/01/2025,01/01/2025,0,On Time
512,7,26/05/2024,05/06/2024,10,Delayed
513,6,20/08/2024,25/08/2024,5,Delayed
514,2,28/02/2024,09/03/2024,10,Delayed
515,6,20/04/2024,25/04/2024,5,Delayed
516,6,09/06/2024,14/06/2024,5,Delayed
517,5,27/01/2024,01/02/2024,5,Delayed
518,3,18/04/2024,23/04/2024,5,Delayed
519,2,12/03/2025,17/03/2025,5,Delayed
520,4,13/04/2025,13/04/2025,0,On Time
521,6,11/04/2025,13/04/2025,2,On Time
522,3,04/07/2024,06/07/2024,2,On Time
523,4,29/01/2024,05/02/2024,7,Delayed
524,6,21/09/2024,01/10/2024,10,Delayed
525,7,07/02/2024,08/02/2024,1,On Time
526,3,24/11/2024,26/11/2024,2,On Time
527,5,23/09/2024,03/10/2024,10,Delayed
528,5,23/06/2024,30/06/2024,7,Delayed
529,2,22/06/2024,27/06/2024,5,Delayed
530,7,13/11/2024,16/11/2024,3,On Time
531,4,01/01/2024,04/01/2024,3,On Time
532,6,18/09/2024,20/09/2024,2,On Time
533,5,28/03/2024,30/03/2024,2,On Time
534,4,02/02/2024,07/02/2024,5,Delayed
535,5,08/10/2024,09/10/2024,1,On Time
536,7,21/07/2024,28/07/2024,7,Delayed
537,5,06/03/2024,16/03/2024,10,Delayed
538,6,24/03/2025,31/03/2025,7,Delayed
539,2,26/10/2024,27/10/2024,1,On Time
540,7,28/11/2024,08/12/2024,10,Delayed
541,4,28/04/2024,08/05/2024,10,Delayed
542,7,08/05/2025,15/05/2025,7,Delayed
543,7,18/01/2025,25/01/2025,7,Delayed
544,2,29/12/2024,30/12/2024,1,On Time
545,3,24/02/2024,05/03/2024,10,Delayed
546,5,08/11/2024,09/11/2024,1,On Time
547,1,28/11/2024,03/12/2024,5,Delayed
548,7,22/12/2024,27/12/2024,5,Delayed
549,4,24/01/2024,31/01/2024,7,Delayed
550,5,18/03/2025,23/03/2025,5,Delayed
551,6,30/12/2024,04/01/2025,5,Delayed
552,5,12/04/2024,22/04/2024,10,Delayed
553,4,09/01/2024,19/01/2024,10,Delayed
554,4,31/03/2024,31/03/2024,0,On Time
555,3,16/02/2025,21/02/2025,5,Delayed
556,2,11/12/2024,16/12/2024,5,Delayed
557,5,25/05/2024,04/06/2024,10,Delayed
558,5,22/03/2024,27/03/2024,5,Delayed
559,2,11/05/2024,21/05/2024,10,Delayed
560,2,21/06/2024,28/06/2024,7,Delayed
561,3,14/12/2024,14/12/2024,0,On Time
562,3,06/11/2024,07/11/2024,1,On Time
563,2,23/11/2024,28/11/2024,5,Delayed
564,1,18/02/2025,25/02/2025,7,Delayed
565,5,10/01/2024,10/01/2024,0,On Time
566,2,26/02/2024,29/02/2024,3,On Time
567,1,31/03/2025,31/03/2025,0,On Time
568,2,11/06/2024,12/06/2024,1,On Time
