sales_id,date,store_id,product_id,quantity_sold,revenue,promotion_applied,customer_demand_level,festive_period,inflation_period,stockout_event
131,01/01/2024,7,11,24,147240,No,Medium,No,No,Yes
132,01/01/2024,7,12,16,128432,No,Low,No,No,No
133,01/01/2024,7,13,25,238600,Yes,Medium,No,No,No
134,01/01/2024,7,14,30,109500,Yes,Medium,No,No,Yes
135,01/01/2024,7,15,26,110058,No,Medium,No,No,Yes
136,01/01/2024,7,16,13,56082,No,Low,No,No,No
137,01/01/2024,7,17,15,118920,No,Low,No,No,No
138,01/01/2024,7,18,4,26260,No,Low,No,No,No
139,01/01/2024,7,19,10,116990,No,Low,No,No,No
140,01/01/2024,7,20,7,31570,Yes,Low,No,No,No
141,02/01/2024,1,1,62,680512,Yes,High,No,No,No
142,02/01/2024,1,2,18,74826,No,Low,No,No,No
143,02/01/2024,1,3,2,18870,No,Low,No,No,No
144,02/01/2024,1,4,35,34580,Yes,Medium,No,No,No
145,02/01/2024,1,5,10,103630,No,Low,No,No,No
146,02/01/2024,1,6,27,300969,No,Medium,No,No,No
147,02/01/2024,1,7,40,314360,Yes,High,No,No,No
148,02/01/2024,1,8,31,96565,Yes,Medium,No,No,Yes
149,02/01/2024,1,9,38,115786,No,Medium,No,No,Yes
150,02/01/2024,1,10,34,68646,Yes,Medium,No,No,Yes
151,02/01/2024,1,11,19,116565,Yes,Low,No,No,Yes
152,02/01/2024,1,12,42,337134,Yes,High,No,No,No
153,02/01/2024,1,13,21,200424,No,Medium,No,No,No
154,02/01/2024,1,14,25,91250,Yes,Medium,No,No,Yes
155,02/01/2024,1,15,46,194718,Yes,High,No,No,No
156,02/01/2024,1,16,13,56082,Yes,Low,No,No,No
157,02/01/2024,1,17,42,332976,Yes,High,No,No,No
158,02/01/2024,1,18,42,275730,No,High,No,No,No
159,02/01/2024,1,19,4,46796,No,Low,No,No,Yes
160,02/01/2024,1,20,39,175890,No,Medium,No,No,Yes
161,02/01/2024,2,1,59,647584,Yes,High,No,No,No
162,02/01/2024,2,2,26,108082,No,Medium,No,No,Yes
163,02/01/2024,2,3,29,273615,Yes,Medium,No,No,No
164,02/01/2024,2,4,34,33592,Yes,Medium,No,No,No
165,02/01/2024,2,5,34,352342,Yes,Medium,No,No,No
166,02/01/2024,2,6,21,234087,No,Medium,No,No,No
167,02/01/2024,2,7,41,322219,No,High,No,No,No
168,02/01/2024,2,8,26,80990,No,Medium,No,No,Yes
169,02/01/2024,2,9,24,73128,Yes,Medium,No,No,No
170,02/01/2024,2,10,19,38361,No,Low,No,No,No
171,02/01/2024,2,11,11,67485,Yes,Low,No,No,No
172,02/01/2024,2,12,17,136459,No,Low,No,No,No
173,02/01/2024,2,13,46,439024,Yes,High,No,No,No
174,02/01/2024,2,14,37,135050,No,Medium,No,No,No
175,02/01/2024,2,15,40,169320,Yes,High,No,No,No
176,02/01/2024,2,16,20,86280,No,Medium,No,No,No
177,02/01/2024,2,17,35,277480,No,Medium,No,No,No
178,02/01/2024,2,18,39,256035,Yes,Medium,No,No,No
179,02/01/2024,2,19,12,140388,No,Low,No,No,No
180,02/01/2024,2,20,23,103730,No,Medium,No,No,No
181,02/01/2024,3,1,73,801248,Yes,High,No,No,No
182,02/01/2024,3,2,37,153809,Yes,Medium,No,No,Yes
183,02/01/2024,3,3,19,179265,Yes,Low,No,No,No
184,02/01/2024,3,4,13,12844,No,Low,No,No,No
185,02/01/2024,3,5,19,196897,No,Low,No,No,No
186,02/01/2024,3,6,23,256381,No,Medium,No,No,No
187,02/01/2024,3,7,24,188616,No,Medium,No,No,Yes
188,02/01/2024,3,8,35,109025,Yes,Medium,No,No,No
189,02/01/2024,3,9,21,63987,Yes,Medium,No,No,Yes
190,02/01/2024,3,10,1,2019,No,Low,No,No,No
191,02/01/2024,3,11,15,92025,Yes,Low,No,No,No
192,02/01/2024,3,12,21,168567,Yes,Medium,No,No,No
193,02/01/2024,3,13,9,85896,No,Low,No,No,No
194,02/01/2024,3,14,17,62050,Yes,Low,No,No,No
195,02/01/2024,3,15,51,215883,Yes,High,No,No,Yes
196,02/01/2024,3,16,34,146676,No,Medium,No,No,No
197,02/01/2024,3,17,31,245768,Yes,Medium,No,No,No
198,02/01/2024,3,18,10,65650,No,Low,No,No,No
199,02/01/2024,3,19,22,257378,No,Medium,No,No,No
200,02/01/2024,3,20,35,157850,Yes,Medium,No,No,No
201,02/01/2024,4,1,60,658560,Yes,High,No,No,Yes
202,02/01/2024,4,2,32,133024,Yes,Medium,No,No,No
203,02/01/2024,4,3,22,207570,Yes,Medium,No,No,Yes
204,02/01/2024,4,4,33,32604,Yes,Medium,No,No,No
205,02/01/2024,4,5,27,279801,No,Medium,No,No,No
206,02/01/2024,4,6,17,189499,Yes,Low,No,No,Yes
207,02/01/2024,4,7,58,455822,No,High,No,No,Yes
208,02/01/2024,4,8,33,102795,No,Medium,No,No,No
209,02/01/2024,4,9,46,140162,Yes,High,No,No,Yes
210,02/01/2024,4,10,52,104988,No,High,No,No,No
211,02/01/2024,4,11,24,147240,No,Medium,No,No,No
212,02/01/2024,4,12,40,321080,Yes,High,No,No,No
213,02/01/2024,4,13,22,209968,Yes,Medium,No,No,Yes
214,02/01/2024,4,14,13,47450,No,Low,No,No,No
215,02/01/2024,4,15,49,207417,No,High,No,No,No
216,02/01/2024,4,16,44,189816,Yes,High,No,No,No
217,02/01/2024,4,17,33,261624,Yes,Medium,No,No,No
218,02/01/2024,4,18,32,210080,No,Medium,No,No,Yes
219,02/01/2024,4,19,14,163786,No,Low,No,No,No
220,02/01/2024,4,20,24,108240,Yes,Medium,No,No,No
221,02/01/2024,5,1,22,241472,Yes,Medium,No,No,Yes
222,02/01/2024,5,2,4,16628,Yes,Low,No,No,No
223,02/01/2024,5,3,33,311355,Yes,Medium,No,No,No
224,02/01/2024,5,4,8,7904,No,Low,No,No,Yes
225,02/01/2024,5,5,16,165808,Yes,Low,No,No,Yes
226,02/01/2024,5,6,42,468174,Yes,High,No,No,No
227,02/01/2024,5,7,54,424386,No,High,No,No,No
228,02/01/2024,5,8,37,115255,Yes,Medium,No,No,Yes
229,02/01/2024,5,9,7,21329,Yes,Low,No,No,No
230,02/01/2024,5,10,34,68646,No,Medium,No,No,No
231,02/01/2024,5,11,34,208590,Yes,Medium,No,No,Yes
232,02/01/2024,5,12,13,104351,Yes,Low,No,No,Yes
233,02/01/2024,5,13,30,286320,Yes,Medium,No,No,No
234,02/01/2024,5,14,5,18250,No,Low,No,No,No
235,02/01/2024,5,15,39,165087,No,Medium,No,No,Yes
236,02/01/2024,5,16,14,60396,No,Low,No,No,Yes
237,02/01/2024,5,17,4,31712,Yes,Low,No,No,No
238,02/01/2024,5,18,25,164125,No,Medium,No,No,No
239,02/01/2024,5,19,26,304174,Yes,Medium,No,No,No
240,02/01/2024,5,20,48,216480,Yes,High,No,No,No
241,02/01/2024,6,1,18,197568,No,Low,No,No,No
242,02/01/2024,6,2,28,116396,No,Medium,No,No,Yes
243,02/01/2024,6,3,16,150960,No,Low,No,No,Yes
244,02/01/2024,6,4,27,26676,Yes,Medium,No,No,No
245,02/01/2024,6,5,32,331616,Yes,Medium,No,No,No
246,02/01/2024,6,6,8,89176,Yes,Low,No,No,No
247,02/01/2024,6,7,51,400809,Yes,High,No,No,No
248,02/01/2024,6,8,15,46725,Yes,Low,No,No,No
249,02/01/2024,6,9,32,97504,Yes,Medium,No,No,No
250,02/01/2024,6,10,25,50475,No,Medium,No,No,Yes
251,02/01/2024,6,11,15,92025,No,Low,No,No,No
252,02/01/2024,6,12,48,385296,Yes,High,No,No,No
253,02/01/2024,6,13,37,353128,No,Medium,No,No,No
254,02/01/2024,6,14,26,94900,No,Medium,No,No,No
255,02/01/2024,6,15,2,8466,Yes,Low,No,No,No
256,02/01/2024,6,16,25,107850,No,Medium,No,No,No
257,02/01/2024,6,17,34,269552,Yes,Medium,No,No,No
258,02/01/2024,6,18,13,85345,No,Low,No,No,No
259,02/01/2024,6,19,48,561552,Yes,High,No,No,No
260,02/01/2024,6,20,45,202950,Yes,High,No,No,No
261,02/01/2024,7,1,16,175616,Yes,Low,No,No,No
262,02/01/2024,7,2,22,91454,Yes,Medium,No,No,No
263,02/01/2024,7,3,1,9435,Yes,Low,No,No,No
264,02/01/2024,7,4,33,32604,Yes,Medium,No,No,No
265,02/01/2024,7,5,28,290164,Yes,Medium,No,No,No
266,02/01/2024,7,6,28,312116,No,Medium,No,No,No
267,02/01/2024,7,7,36,282924,No,Medium,No,No,Yes
268,02/01/2024,7,8,17,52955,Yes,Low,No,No,No
269,02/01/2024,7,9,4,12188,Yes,Low,No,No,No
270,02/01/2024,7,10,11,22209,No,Low,No,No,No
271,02/01/2024,7,11,40,245400,Yes,High,No,No,Yes
272,02/01/2024,7,12,7,56189,Yes,Low,No,No,Yes
273,02/01/2024,7,13,38,362672,Yes,Medium,No,No,No
274,02/01/2024,7,14,20,73000,Yes,Medium,No,No,No
275,02/01/2024,7,15,37,156621,No,Medium,No,No,No
276,02/01/2024,7,16,43,185502,Yes,High,No,No,No
277,02/01/2024,7,17,17,134776,No,Low,No,No,Yes
278,02/01/2024,7,18,6,39390,No,Low,No,No,No
279,02/01/2024,7,19,8,93592,Yes,Low,No,No,No
280,02/01/2024,7,20,16,72160,No,Low,No,No,No
281,03/01/2024,1,1,27,296352,No,Medium,No,No,No
282,03/01/2024,1,2,17,70669,No,Low,No,No,No
283,03/01/2024,1,3,21,198135,No,Medium,No,No,No
284,03/01/2024,1,4,9,8892,No,Low,No,No,No
285,03/01/2024,1,5,23,238349,No,Medium,No,No,No
286,03/01/2024,1,6,10,111470,Yes,Low,No,No,No
287,03/01/2024,1,7,11,86449,No,Low,No,No,Yes
288,03/01/2024,1,8,40,124600,No,High,No,No,No
289,03/01/2024,1,9,43,131021,Yes,High,No,No,No
290,03/01/2024,1,10,29,58551,No,Medium,No,No,No
291,03/01/2024,1,11,41,251535,Yes,High,No,No,No
292,03/01/2024,1,12,6,48162,Yes,Low,No,No,Yes
293,03/01/2024,1,13,9,85896,Yes,Low,No,No,Yes
294,03/01/2024,1,14,13,47450,No,Low,No,No,No
295,03/01/2024,1,15,22,93126,No,Medium,No,No,No
296,03/01/2024,1,16,20,86280,Yes,Medium,No,No,No
297,03/01/2024,1,17,40,317120,Yes,High,No,No,No
298,03/01/2024,1,18,41,269165,No,High,No,No,Yes
299,03/01/2024,1,19,37,432863,No,Medium,No,No,Yes
300,03/01/2024,1,20,32,144320,Yes,Medium,No,No,No
301,03/01/2024,2,1,36,395136,Yes,Medium,No,No,No
302,03/01/2024,2,2,25,103925,No,Medium,No,No,Yes
303,03/01/2024,2,3,12,113220,No,Low,No,No,No
304,03/01/2024,2,4,13,12844,Yes,Low,No,No,No
305,03/01/2024,2,5,12,124356,No,Low,No,No,No
306,03/01/2024,2,6,13,144911,Yes,Low,No,No,Yes
307,03/01/2024,2,7,21,165039,Yes,Medium,No,No,No
308,03/01/2024,2,8,8,24920,No,Low,No,No,No
309,03/01/2024,2,9,37,112739,No,Medium,No,No,No
310,03/01/2024,2,10,26,52494,Yes,Medium,No,No,No
311,03/01/2024,2,11,20,122700,Yes,Medium,No,No,No
312,03/01/2024,2,12,27,216729,No,Medium,No,No,No
313,03/01/2024,2,13,32,305408,Yes,Medium,No,No,No
314,03/01/2024,2,14,9,32850,No,Low,No,No,No
315,03/01/2024,2,15,51,215883,No,High,No,No,No
316,03/01/2024,2,16,6,25884,No,Low,No,No,No
317,03/01/2024,2,17,36,285408,Yes,Medium,No,No,No
318,03/01/2024,2,18,31,203515,Yes,Medium,No,No,No
319,03/01/2024,2,19,9,105291,No,Low,No,No,No
320,03/01/2024,2,20,7,31570,No,Low,No,No,No
321,03/01/2024,3,1,56,614656,Yes,High,No,No,Yes
322,03/01/2024,3,2,36,149652,Yes,Medium,No,No,No
323,03/01/2024,3,3,23,217005,Yes,Medium,No,No,Yes
324,03/01/2024,3,4,50,49400,Yes,High,No,No,Yes
325,03/01/2024,3,5,2,20726,No,Low,No,No,No
326,03/01/2024,3,6,17,189499,No,Low,No,No,No
327,03/01/2024,3,7,41,322219,Yes,High,No,No,No
328,03/01/2024,3,8,42,130830,Yes,High,No,No,Yes
329,03/01/2024,3,9,42,127974,No,High,No,No,No
330,03/01/2024,3,10,14,28266,Yes,Low,No,No,No
331,03/01/2024,3,11,31,190185,No,Medium,No,No,Yes
332,03/01/2024,3,12,4,32108,Yes,Low,No,No,Yes
333,03/01/2024,3,13,33,314952,Yes,Medium,No,No,No
334,03/01/2024,3,14,21,76650,No,Medium,No,No,Yes
335,03/01/2024,3,15,46,194718,No,High,No,No,Yes
336,03/01/2024,3,16,10,43140,No,Low,No,No,Yes
337,03/01/2024,3,17,25,198200,No,Medium,No,No,Yes
338,03/01/2024,3,18,24,157560,Yes,Medium,No,No,No
339,03/01/2024,3,19,11,128689,No,Low,No,No,No
340,03/01/2024,3,20,28,126280,Yes,Medium,No,No,No
341,03/01/2024,4,1,25,274400,No,Medium,No,No,No
342,03/01/2024,4,2,22,91454,No,Medium,No,No,No
343,03/01/2024,4,3,15,141525,No,Low,No,No,No
344,03/01/2024,4,4,39,38532,Yes,Medium,No,No,Yes
345,03/01/2024,4,5,23,238349,Yes,Medium,No,No,No
346,03/01/2024,4,6,42,468174,Yes,High,No,No,No
347,03/01/2024,4,7,4,31436,Yes,Low,No,No,No
348,03/01/2024,4,8,27,84105,Yes,Medium,No,No,No
349,03/01/2024,4,9,19,57893,No,Low,No,No,No
350,03/01/2024,4,10,39,78741,Yes,Medium,No,No,No
351,03/01/2024,4,11,34,208590,No,Medium,No,No,No
352,03/01/2024,4,12,42,337134,No,High,No,No,No
353,03/01/2024,4,13,37,353128,No,Medium,No,No,No
354,03/01/2024,4,14,9,32850,No,Low,No,No,No
355,03/01/2024,4,15,36,152388,Yes,Medium,No,No,No
356,03/01/2024,4,16,27,116478,Yes,Medium,No,No,Yes
357,03/01/2024,4,17,35,277480,Yes,Medium,No,No,No
358,03/01/2024,4,18,24,157560,No,Medium,No,No,No
359,03/01/2024,4,19,13,152087,Yes,Low,No,No,No
360,03/01/2024,4,20,21,94710,No,Medium,No,No,No
361,03/01/2024,5,1,53,581728,Yes,High,No,No,Yes
362,03/01/2024,5,2,20,83140,No,Medium,No,No,No
363,03/01/2024,5,3,45,424575,Yes,High,No,No,No
364,03/01/2024,5,4,15,14820,No,Low,No,No,Yes
365,03/01/2024,5,5,42,435246,Yes,High,No,No,No
366,03/01/2024,5,6,13,144911,No,Low,No,No,No
367,03/01/2024,5,7,55,432245,No,High,No,No,No
368,03/01/2024,5,8,13,40495,No,Low,No,No,No
369,03/01/2024,5,9,23,70081,No,Medium,No,No,No
370,03/01/2024,5,10,22,44418,No,Medium,No,No,Yes
371,03/01/2024,5,11,14,85890,No,Low,No,No,No
372,03/01/2024,5,12,17,136459,Yes,Low,No,No,No
373,03/01/2024,5,13,31,295864,Yes,Medium,No,No,Yes
374,03/01/2024,5,14,23,83950,No,Medium,No,No,No
375,03/01/2024,5,15,63,266679,No,High,No,No,No
376,03/01/2024,5,16,34,146676,Yes,Medium,No,No,Yes
377,03/01/2024,5,17,50,396400,Yes,High,No,No,No
378,03/01/2024,5,18,13,85345,Yes,Low,No,No,Yes
379,03/01/2024,5,19,38,444562,No,Medium,No,No,No
380,03/01/2024,5,20,18,81180,No,Low,No,No,No
381,03/01/2024,6,1,34,373184,Yes,Medium,No,No,No
382,03/01/2024,6,2,29,120553,No,Medium,No,No,No
383,03/01/2024,6,3,27,254745,Yes,Medium,No,No,Yes
384,03/01/2024,6,4,5,4940,Yes,Low,No,No,No
385,03/01/2024,6,5,25,259075,No,Medium,No,No,No
386,03/01/2024,6,6,19,211793,No,Low,No,No,No
387,03/01/2024,6,7,21,165039,Yes,Medium,No,No,No
388,03/01/2024,6,8,19,59185,Yes,Low,No,No,Yes
389,03/01/2024,6,9,19,57893,Yes,Low,No,No,No
390,03/01/2024,6,10,7,14133,No,Low,No,No,No
391,03/01/2024,6,11,13,79755,No,Low,No,No,Yes
392,03/01/2024,6,12,15,120405,Yes,Low,No,No,No
393,03/01/2024,6,13,1,9544,No,Low,No,No,Yes
394,03/01/2024,6,14,43,156950,No,High,No,No,No
395,03/01/2024,6,15,59,249747,No,High,No,No,No
396,03/01/2024,6,16,12,51768,Yes,Low,No,No,No
397,03/01/2024,6,17,11,87208,Yes,Low,No,No,No
398,03/01/2024,6,18,46,301990,Yes,High,No,No,No
399,03/01/2024,6,19,29,339271,Yes,Medium,No,No,Yes
400,03/01/2024,6,20,40,180400,Yes,High,No,No,No
401,03/01/2024,7,1,5,54880,Yes,Low,No,No,No
402,03/01/2024,7,2,23,95611,No,Medium,No,No,No
403,03/01/2024,7,3,32,301920,Yes,Medium,No,No,No
404,03/01/2024,7,4,39,38532,Yes,Medium,No,No,No
405,03/01/2024,7,5,6,62178,Yes,Low,No,No,No
406,03/01/2024,7,6,10,111470,No,Low,No,No,No
407,03/01/2024,7,7,36,282924,Yes,Medium,No,No,Yes
408,03/01/2024,7,8,20,62300,No,Medium,No,No,No
409,03/01/2024,7,9,28,85316,Yes,Medium,No,No,No
410,03/01/2024,7,10,30,60570,Yes,Medium,No,No,No
411,03/01/2024,7,11,41,251535,Yes,High,No,No,Yes
412,03/01/2024,7,12,20,160540,No,Medium,No,No,Yes
413,03/01/2024,7,13,34,324496,Yes,Medium,No,No,No
414,03/01/2024,7,14,17,62050,Yes,Low,No,No,No
415,03/01/2024,7,15,66,279378,Yes,High,No,No,No
416,03/01/2024,7,16,23,99222,Yes,Medium,No,No,Yes
417,03/01/2024,7,17,24,190272,Yes,Medium,No,No,No
418,03/01/2024,7,18,29,190385,Yes,Medium,No,No,No
419,03/01/2024,7,19,15,175485,Yes,Low,No,No,No
420,03/01/2024,7,20,6,27060,No,Low,No,No,Yes
421,04/01/2024,1,1,20,219520,No,Medium,No,No,No
422,04/01/2024,1,2,31,128867,Yes,Medium,No,No,No
423,04/01/2024,1,3,14,132090,Yes,Low,No,No,No
424,04/01/2024,1,4,37,36556,No,Medium,No,No,No
425,04/01/2024,1,5,46,476698,Yes,High,No,No,No
426,04/01/2024,1,6,26,289822,No,Medium,No,No,No
427,04/01/2024,1,7,21,165039,Yes,Medium,No,No,No
428,04/01/2024,1,8,28,87220,Yes,Medium,No,No,No
429,04/01/2024,1,9,30,91410,Yes,Medium,No,No,No
430,04/01/2024,1,10,1,2019,Yes,Low,No,No,Yes
431,04/01/2024,1,11,4,24540,Yes,Low,No,No,No
432,04/01/2024,1,12,35,280945,Yes,Medium,No,No,No
433,04/01/2024,1,13,16,152704,Yes,Low,No,No,No
434,04/01/2024,1,14,20,73000,No,Medium,No,No,No
435,04/01/2024,1,15,61,258213,No,High,No,No,No
436,04/01/2024,1,16,45,194130,Yes,High,No,No,No
437,04/01/2024,1,17,18,142704,No,Low,No,No,No
438,04/01/2024,1,18,26,170690,Yes,Medium,No,No,Yes
439,04/01/2024,1,19,1,11699,No,Low,No,No,No
440,04/01/2024,1,20,9,40590,Yes,Low,No,No,No
441,04/01/2024,2,1,21,230496,No,Medium,No,No,No
442,04/01/2024,2,2,31,128867,No,Medium,No,No,No
443,04/01/2024,2,3,27,254745,No,Medium,No,No,No
444,04/01/2024,2,4,14,13832,No,Low,No,No,No
445,04/01/2024,2,5,14,145082,Yes,Low,No,No,No
446,04/01/2024,2,6,14,156058,Yes,Low,No,No,No
447,04/01/2024,2,7,24,188616,Yes,Medium,No,No,No
448,04/01/2024,2,8,32,99680,No,Medium,No,No,No
449,04/01/2024,2,9,14,42658,Yes,Low,No,No,No
450,04/01/2024,2,10,1,2019,No,Low,No,No,No
